ą,ɔ̃ w̃
wydruk,ˈ v ɨ d r u k
wydrukowanie,v ɨ d r u k ɔ ˈ v ã ɲ ɛ
wydrukować,v ɨ d r u ˈ k ɔ v a t͡ɕ
wydrążyć,v ɨ ˈ d r ɔ̃ w̃ ʐ ɨ t͡ɕ
wydukać,v ɨ ˈ d u k a t͡ɕ
wydworny,v ɨ ˈ d v ɔ r n ɨ
wydymać,v ɨ ˈ d ɨ m a t͡ɕ
wydział,ˈ v ɨ d͡ʑ a w
wydziałowy,v ɨ d͡ʑ a ˈ w ɔ v ɨ
wydziedziczać,v ɨ d͡ʑ ɛ ˈ d͡ʑ i t͡ʂ a t͡ɕ
wydziedziczyć,v ɨ d͡ʑ ɛ ˈ d͡ʑ i t͡ʂ ɨ t͡ɕ
wydzielać,v ɨ ˈ d͡ʑ ɛ l a t͡ɕ
wydzielić,v ɨ ˈ d͡ʑ ɛ l ʲ i t͡ɕ
wydziobywać,v ɨ d͡ʑ ɔ ˈ b ɨ v a t͡ɕ
wydłużanie,v ɨ d w u ˈ ʐ ã ɲ ɛ
wydłużać,v ɨ ˈ d w u ʐ a t͡ɕ
wydłużenie,v ɨ d w u ˈ ʐ ɛ̃ ɲ ɛ
wydłużyć,v ɨ ˈ d w u ʐ ɨ t͡ɕ
wydźwięk,ˈ v ɨ d͡ʑ v ʲ j ɛ̃ ŋ k
wydźwiękowy,v ɨ d͡ʑ v ʲ j ɛ̃ ŋ ˈ k ɔ v ɨ
wyegzekwowanie,v ɨ ɛ ɡ z ɛ k f ɔ ˈ v ã ɲ ɛ
wyegzekwować,v ɨ ɛ ɡ z ɛ ˈ k f ɔ v a t͡ɕ
wyeksploatowanie,v ɨ ɛ k s p l ɔ a t ɔ ˈ v a ɲ ɛ
wyeliminowanie,v ɨ ɛ l ʲ i m ʲ i n ɔ ˈ v ã ɲ ɛ
wyemigrować,v ɨ ɛ̃ m ʲ i ˈ ɡ r ɔ v a t͡ɕ
wyfiokowanie,v ɨ f ʲ j ɔ k ɔ ˈ v ã ɲ ɛ
wygadać,v ɨ ˈ ɡ a d a t͡ɕ
wygadywać,v ɨ ɡ a ˈ d ɨ v a t͡ɕ
wygibas,v ɨ ˈ ɡ ʲ i b a s
wygląd,ˈ v ɨ ɡ l ɔ̃ n t
wyglądanie,v ɨ ɡ l ɔ̃ n ˈ d ã ɲ ɛ
wyglądać,v ɨ ˈ ɡ l ɔ̃ n d a t͡ɕ
wygnanie,v ɨ ˈ ɡ n ã ɲ ɛ
wygodnie,v ɨ ˈ ɡ ɔ d ʲ ɲ ɛ
wygodny,v ɨ ˈ ɡ ɔ d n ɨ
wygon,ˈ v ɨ ɡ ɔ̃ n
wygooglować,v ɨ ɡ u ɡ ˈ l ɔ v a t͡ɕ
wygrana,v ɨ ˈ ɡ r ã n a
wygranie,v ɨ ˈ ɡ r ã ɲ ɛ
wygrać,ˈ v ɨ ɡ r a t͡ɕ
wygrywać,v ɨ ˈ ɡ r ɨ v a t͡ɕ
wygrzebać,v ɨ ˈ ɡ ʐ ɛ b a t͡ɕ
wyguglać,v ɨ ˈ ɡ u ɡ l a t͡ɕ
wygwizdać,v ɨ ˈ ɡ v ʲ i z d a t͡ɕ
wygwizdywać,v ɨ ɡ v ʲ i z ˈ d ɨ v a t͡ɕ
wygładzanie,v ɨ ɡ w a ˈ d͡z ã ɲ ɛ
wygładzać,v ɨ ˈ ɡ w a d͡z a t͡ɕ
wygłaszać,v ɨ ˈ ɡ w a ʂ a t͡ɕ
wygłos,ˈ v ɨ ɡ w ɔ s
wygłosić,v ɨ ˈ ɡ w ɔ ɕ i t͡ɕ
wygłup,ˈ v ɨ ɡ w u p
wyj,ˈ c ɕ ɛ̃ ŋ ɡ a ˈ v ɨ j ɕ t͡ɕ a
wyjawiać,v ɨ ˈ j a v ʲ j æ t͡ɕ
wyjawić,v ɨ ˈ j a v ʲ i t͡ɕ
wyjazd,ˈ v ɨ j a s t
wyjaśnianie,v ɨ j æ ɕ ˈ ɲ a ɲ ɛ
wyjaśniać,v ɨ ˈ j æ ɕ ɲ æ t͡ɕ
wyjaśnienie,v ɨ j æ ɕ ˈ ɲ ɛ̃ ɲ ɛ
wyjaśnić,v ɨ ˈ j æ ɕ ɲ i t͡ɕ
wyjebanie,v ɨ j ɛ ˈ b ã ɲ ɛ
wyjebany,v ɨ j ɛ ˈ b ã n ɨ
wyjebać,v ɨ ˈ j ɛ b a t͡ɕ
wyjec,ˈ v ɨ j ɛ t͡s
wyjechać,v ɨ ˈ j ɛ x a t͡ɕ
wyjeżdżanie,v ɨ j ɛ ʐ ˈ d͡ʐ ã ɲ ɛ
wyjeżdżać,v ɨ ˈ j ɛ ʐ d͡ʐ a t͡ɕ
wyjmowanie,v ɨ j m ɔ ˈ v ã ɲ ɛ
wyjątek,v ɨ ˈ j ɔ̃ n t ɛ k
wyjątkowo,v ɨ j ɔ̃ n t ˈ k ɔ v ɔ
wyjątkowy,v ɨ j ɔ̃ n t ˈ k ɔ v ɨ
wyjście,ˈ v ɨ j ɕ t͡ɕ ɛ
wyjść,v ɨ j ɕ t͡ɕ
wykapany,v ɨ k a ˈ p ã n ɨ
wykaz,ˈ v ɨ k a s
wykazać,v ɨ ˈ k a z a t͡ɕ
wykazywać,v ɨ k a ˈ z ɨ v a t͡ɕ
wykałaczka,v ɨ k a ˈ w a t͡ʂ k a
wykluczyć,v ɨ ˈ k l u t͡ʂ ɨ t͡ɕ
wykląć,ˈ v ɨ k l ɔ̃ ɲ t͡ɕ
wykoleić,v ɨ k ɔ ˈ l ɛ s u p j s u p i t͡ɕ
wykonalność,v ɨ k ɔ̃ ˈ n a l n ɔ ɕ t͡ɕ
wykonalny,v ɨ k ɔ̃ ˈ n a l n ɨ
wykonanie,v ɨ k ɔ̃ ˈ n ã ɲ ɛ
wykonawca,v ɨ k ɔ̃ ˈ n a f t͡s a
wykonawczo,v ɨ k ɔ̃ ˈ n a f t͡ʂ ɔ
wykonawczy,v ɨ k ɔ̃ ˈ n a f t͡ʂ ɨ
wykonawczyni,v ɨ k ɔ̃ n a f ˈ t͡ʂ ɨ ɲ i
wykonawstwo,v ɨ k ɔ̃ ˈ n a f s t f ɔ
wykonać,v ɨ ˈ k ɔ̃ n a t͡ɕ
wykonywanie,v ɨ k ɔ̃ n ɨ ˈ v ã ɲ ɛ
wykonywać,v ɨ k ɔ̃ ˈ n ɨ v a t͡ɕ
wykop,ˈ v ɨ k ɔ p
wykopaliska,v ɨ k ɔ p a ˈ l ʲ i s k a
wykopalisko,v ɨ k ɔ p a ˈ l ʲ i s k ɔ
wykopać,v ɨ ˈ k ɔ p a t͡ɕ
wykopyrtnąć,v ɨ k ɔ ˈ p ɨ r t n ɔ̃ ɲ t͡ɕ
wykopywanie,v ɨ k ɔ p ɨ ˈ v ã ɲ ɛ
wykopywać,v ɨ k ɔ ˈ p ɨ v a t͡ɕ
wykorzenienie,v ɨ k ɔ ʐ ɛ̃ ˈ ɲ ɛ̃ ɲ ɛ
wykorzystanie,v ɨ k ɔ ʐ ɨ ˈ s t ã ɲ ɛ
wykorzystać,v ɨ k ɔ ˈ ʐ ɨ s t a t͡ɕ
wykorzystywanie,v ɨ k ɔ ʐ ɨ s t ɨ ˈ v ã ɲ ɛ
wykorzystywać,v ɨ k ɔ ʐ ɨ ˈ s t ɨ v a t͡ɕ
wykończyć,v ɨ ˈ k ɔ̃ j̃ ɲ t͡ʂ ɨ t͡ɕ
wykpić,ˈ v ɨ k p ʲ i t͡ɕ
wykres,ˈ v ɨ k r ɛ s
wykreślić,v ɨ ˈ k r ɛ ɕ l ʲ i t͡ɕ
wykroczenie,v ɨ k r ɔ ˈ t͡ʂ ɛ̃ ɲ ɛ
wykrok,ˈ v ɨ k r ɔ k
wykrwawienie,v ɨ k r̥ f a ˈ v ʲ j ɛ̃ ɲ ɛ
wykrywacz,v ɨ ˈ k r ɨ v a t͡ʂ
wykryć,ˈ v ɨ k r ɨ t͡ɕ
wykrzaczać,v ɨ ˈ k ʂ a t͡ʂ a t͡ɕ
wykrzaczyć,v ɨ ˈ k ʂ a t͡ʂ ɨ t͡ɕ
wykrzyknienie,v ɨ k ʂ ɨ c ˈ ɲ ɛ̃ ɲ ɛ
wykrzyknik,v ɨ ˈ k ʂ ɨ c ɲ i k
wykręcanie,v ɨ k r ɛ̃ n ˈ t͡s ã ɲ ɛ
wykręcić,v ɨ ˈ k r ɛ̃ ɲ t͡ɕ i t͡ɕ
wykształcać,v ɨ ˈ k ʂ t a w t͡s a t͡ɕ
wykształcenie,v ɨ k ʂ t a w ˈ t͡s ɛ̃ ɲ ɛ
wykształcony,v ɨ k ʂ t a w ˈ t͡s ɔ̃ n ɨ
wykucie,v ɨ ˈ k u t͡ɕ ɛ
wykurwiście,v ɨ k u r ˈ v ʲ i ɕ t͡ɕ ɛ
wykusz,ˈ v ɨ k u ʂ
wykład,ˈ v ɨ k w a t
wykładanie,v ɨ k w a ˈ d ã ɲ ɛ
wykładać,v ɨ ˈ k w a d a t͡ɕ
wykładnia,v ɨ ˈ k w a d ʲ ɲ a
wykładowca,v ɨ k w a ˈ d ɔ f t͡s a
wykładowczyni,v ɨ k w a d ɔ f ˈ t͡ʂ ɨ ɲ i
wykładowy,v ɨ k w a ˈ d ɔ v ɨ
wykładzik,v ɨ ˈ k w a d͡ʑ i k
wykładzina,v ɨ k w a ˈ d͡ʑ i n a
wylać,ˈ v ɨ l a t͡ɕ
wylecieć,v ɨ ˈ l ɛ t͡ɕ ɛ t͡ɕ
wylegiwać,v ɨ l ɛ ˈ ɡ ʲ i v a t͡ɕ
wylesianie,v ɨ l ɛ ˈ ɕ a ɲ ɛ
wylesiać,v ɨ ˈ l ɛ ɕ æ t͡ɕ
wylesić,v ɨ ˈ l ɛ ɕ i t͡ɕ
wylewanie,v ɨ l ɛ ˈ v ã ɲ ɛ
wylewać,v ɨ ˈ l ɛ v a t͡ɕ
wylewka,v ɨ ˈ l ɛ f k a
wyliczanie,v ɨ l ʲ i ˈ t͡ʂ ã ɲ ɛ
wyliczenie,v ɨ l ʲ i ˈ t͡ʂ ɛ̃ ɲ ɛ
wylogować,v ɨ l ɔ ˈ ɡ ɔ v a t͡ɕ
wylogowywanie,v ɨ l ɔ ɡ ɔ v ɨ ˈ v ã ɲ ɛ
wylogowywać,v ɨ l ɔ ɡ ɔ ˈ v ɨ v a t͡ɕ
wylot,ˈ v ɨ l ɔ t
wylotek,v ɨ ˈ l ɔ t ɛ k
wylotówka,v ɨ l ɔ ˈ t u f k a
wymachiwanie,v ɨ m a ɣ i ˈ v ã ɲ ɛ
wymaganie,v ɨ m a ˈ ɡ ã ɲ ɛ
wymagać,v ɨ ˈ m a ɡ a t͡ɕ
wymalować,v ɨ m a ˈ l ɔ v a t͡ɕ
wymarły,v ɨ ˈ m a r w ɨ
wymawiać,v ɨ ˈ m a v ʲ j æ t͡ɕ
wymiana,v ɨ ˈ m ʲ j ã n a
wymiar,ˈ v ɨ m ʲ j a r
wymiarować,v ɨ m ʲ j a ˈ r ɔ v a t͡ɕ
wymiatać,v ɨ ˈ m ʲ j a t a t͡ɕ
wymienialny,v ɨ m ʲ j ɛ̃ ˈ ɲ a l n ɨ
wymienianie,v ɨ m ʲ j ɛ̃ ˈ ɲ a ɲ ɛ
wymieniać,v ɨ ˈ m ʲ j ɛ̃ ɲ æ t͡ɕ
wymienić,v ɨ ˈ m ʲ j ɛ̃ ɲ i t͡ɕ
wymienny,v ɨ ˈ m ʲ j ɛ̃ n ɨ
wymierzyć,v ɨ ˈ m ʲ j ɛ ʐ ɨ t͡ɕ
wymijanie,v ɨ m ʲ i ˈ j a ɲ ɛ
wymiotnie,v ɨ ˈ m ʲ j ɔ t ʲ ɲ ɛ
wymiotny,v ɨ ˈ m ʲ j ɔ t n ɨ
wymiotowanie,v ɨ m ʲ j ɔ t ɔ ˈ v ã ɲ ɛ
wymiotować,v ɨ m ʲ j ɔ ˈ t ɔ v a t͡ɕ
wymioty,v ɨ ˈ m ʲ j ɔ t ɨ
wymię,ˈ v ɨ m ʲ j ɛ
wymki,ˈ v ɨ m ʲ c i
wymleć,ˈ v ɨ m l ɛ t͡ɕ
wymoczek,v ɨ ˈ m ɔ t͡ʂ ɛ k
wymowa,v ɨ ˈ m ɔ v a
wymrzeć,ˈ v ɨ m ʐ ɛ t͡ɕ
wymuszać,v ɨ ˈ m u ʂ a t͡ɕ
wymyślać,v ɨ ˈ m ɨ ɕ l a t͡ɕ
wymyślić,v ɨ ˈ m ɨ ɕ l ʲ i t͡ɕ
wymówić,v ɨ ˈ m u v ʲ i t͡ɕ
wynagrodzenie,v ɨ n a ɡ r ɔ ˈ d͡z ɛ̃ ɲ ɛ
wynagrodzić,v ɨ n a ˈ ɡ r ɔ d͡ʑ i t͡ɕ
wynajdywanie,v ɨ n a j d ɨ ˈ v ã ɲ ɛ
wynajem,v ɨ ˈ n a j ɛ̃ m
wynajmowanie,v ɨ n a j m ɔ ˈ v ã ɲ ɛ
wynajmować,v ɨ n a j ˈ m ɔ v a t͡ɕ
wynalazca,v ɨ n a ˈ l a s t͡s a
wynalazczyni,v ɨ n a l a ʂ ˈ t͡ʂ ɨ ɲ i
wynalazek,v ɨ n a ˈ l a z ɛ k
wynieść,ˈ v ɨ ɲ ɛ ɕ t͡ɕ
wynik,ˈ v ɨ ɲ i k
wynikanie,v ɨ ɲ i ˈ k ã ɲ ɛ
wynikać,v ɨ ˈ ɲ i k a t͡ɕ
wyniknąć,v ɨ ˈ ɲ i k n ɔ̃ ɲ t͡ɕ
wyniosły,v ɨ ˈ ɲ ɔ s w ɨ
wyniszczanie,v ɨ ɲ i ʂ ˈ t͡ʂ ã ɲ ɛ
wyniuchać,v ɨ ˈ ɲ u x a t͡ɕ
wynocha,v ɨ ˈ n ɔ x a
wynosić,v ɨ ˈ n ɔ ɕ i t͡ɕ
wynoszenie,v ɨ n ɔ ˈ ʂ ɛ̃ ɲ ɛ
wynotowanie,v ɨ n ɔ t ɔ ˈ v ã ɲ ɛ
wyobcowany,v ɨ ɔ p t͡s ɔ ˈ v ã n ɨ
wyobrazić,v ɨ ɔ ˈ b r a ʑ i t͡ɕ
wyobraźnia,v ɨ ɔ ˈ b r a ʑ ɲ a
wyobrażalny,v ɨ ɔ b r a ˈ ʐ a l n ɨ
wyobrażanie,v ɨ ɔ b r a ˈ ʐ ã ɲ ɛ
wyobrażać,v ɨ ɔ ˈ b r a ʐ a t͡ɕ
wyobrażenie,v ɨ ɔ b r a ˈ ʐ ɛ̃ ɲ ɛ
wyodrębniać,v ɨ ɔ ˈ d r ɛ̃ m b ʲ ɲ æ t͡ɕ
wyodrębnić,v ɨ ɔ ˈ d r ɛ̃ m b ʲ ɲ i t͡ɕ
wyolbrzymianie,v ɨ ɔ l b ʐ ɨ ˈ m ʲ j a ɲ ɛ
wypadanie,v ɨ p a ˈ d ã ɲ ɛ
wypadać,v ɨ ˈ p a d a t͡ɕ
wypadek,v ɨ ˈ p a d ɛ k
wypakowywać,v ɨ p a k ɔ ˈ v ɨ v a t͡ɕ
wypalanie,v ɨ p a ˈ l ã ɲ ɛ
wypalać,v ɨ ˈ p a l a t͡ɕ
wypalenie,v ɨ p a ˈ l ɛ̃ ɲ ɛ
wypalić,v ɨ ˈ p a l ʲ i t͡ɕ
wyparcie,v ɨ ˈ p a r ʲ t͡ɕ ɛ
wypas,ˈ v ɨ p a s
wypasanie,v ɨ p a ˈ s ã ɲ ɛ
wypatrywać,v ɨ p a ˈ t r ɨ v a t͡ɕ
wypaść,ˈ v ɨ p a ɕ t͡ɕ
wypchany,v ɨ ˈ p x ã n ɨ
wypchnąć,ˈ v ɨ p x n ɔ̃ ɲ t͡ɕ
wypiec,ˈ v ɨ p ʲ j ɛ t͡s
wypiek,ˈ v ɨ p ʲ j ɛ k
wypieprzyć,v ɨ ˈ p ʲ j ɛ p ʂ ɨ t͡ɕ
wypierdalanie,v ɨ p ʲ j ɛ r d a ˈ l ã ɲ ɛ
wypierdalać,v ɨ p ʲ j ɛ r ˈ d a l a t͡ɕ
wypierdek,v ɨ ˈ p ʲ j ɛ r d ɛ k
wypierdolić,v ɨ p ʲ j ɛ r ˈ d ɔ l ʲ i t͡ɕ
wypinać,v ɨ ˈ p ʲ i n a t͡ɕ
wypisanie,v ɨ p ʲ i ˈ s ã ɲ ɛ
wypisać,v ɨ ˈ p ʲ i s a t͡ɕ
wypisywanie,v ɨ p ʲ i s ɨ ˈ v ã ɲ ɛ
wypisywać,v ɨ p ʲ i ˈ s ɨ v a t͡ɕ
wypić,ˈ v ɨ p ʲ i t͡ɕ
wypiździewo,v ɨ p ʲ i ʑ ˈ d͡ʑ ɛ v ɔ
wypoczynek,v ɨ p ɔ ˈ t͡ʂ ɨ n ɛ k
wypoczynkowy,v ɨ p ɔ t͡ʂ ɨ ŋ ˈ k ɔ v ɨ
wypocząć,v ɨ ˈ p ɔ t͡ʂ ɔ̃ ɲ t͡ɕ
wyposażenie,v ɨ p ɔ s a ˈ ʐ ɛ̃ ɲ ɛ
wyposażyć,v ɨ p ɔ ˈ s a ʐ ɨ t͡ɕ
wypowiadać,v ɨ p ɔ ˈ v ʲ j a d a t͡ɕ
wypowiedzenie,v ɨ p ɔ v ʲ j ɛ ˈ d͡z ɛ̃ ɲ ɛ
wypowiedź,v ɨ ˈ p ɔ v ʲ j ɛ t͡ɕ
wypracować,v ɨ p r a ˈ t͡s ɔ v a t͡ɕ
wyprasować,v ɨ p r a ˈ s ɔ v a t͡ɕ
wyprawa,v ɨ ˈ p r a v a
wyprawka,v ɨ ˈ p r a f k a
wyprosić,v ɨ ˈ p r ɔ ɕ i t͡ɕ
wyprowadzenie,v ɨ p r ɔ v a ˈ d͡z ɛ̃ ɲ ɛ
wyprowadzić,v ɨ p r ɔ ˈ v a d͡ʑ i t͡ɕ
wyprysk,ˈ v ɨ p r ɨ s k
wyprzedaż,v ɨ ˈ p ʂ ɛ d a ʂ
wyprzedzanie,v ɨ p ʂ ɛ ˈ d͡z ã ɲ ɛ
wyprzedzać,v ɨ ˈ p ʂ ɛ d͡z a t͡ɕ
wyprzedzenie,v ɨ p ʂ ɛ ˈ d͡z ɛ̃ ɲ ɛ
wyprzedzić,v ɨ ˈ p ʂ ɛ d͡ʑ i t͡ɕ
wypukły,v ɨ ˈ p u k w ɨ
wypuszczać,v ɨ ˈ p u ʂ t͡ʂ a t͡ɕ
wypuścić,v ɨ ˈ p u ɕ t͡ɕ i t͡ɕ
wypytać,v ɨ ˈ p ɨ t a t͡ɕ
wypłacać,v ɨ ˈ p w a t͡s a t͡ɕ
wypłacić,v ɨ ˈ p w a t͡ɕ i t͡ɕ
wypłaszanie,v ɨ p w a ˈ ʂ ã ɲ ɛ
wypłata,v ɨ ˈ p w a t a
wypłukiwać,v ɨ p w u ˈ c i v a t͡ɕ
wyrabiać,v ɨ ˈ r a b ʲ j æ t͡ɕ
wyrafinowany,v ɨ r a f ʲ i n ɔ ˈ v ã n ɨ
wyrak,ˈ v ɨ r a k
wyraz,ˈ v ɨ r a s
wyrazistość,v ɨ r a ˈ ʑ i s t ɔ ɕ t͡ɕ
wyrazisty,v ɨ r a ˈ ʑ i s t ɨ
wyrazić,v ɨ ˈ r a ʑ i t͡ɕ
wyraziście,v ɨ r a ˈ ʑ i ɕ t͡ɕ ɛ
wyraźnie,v ɨ ˈ r a ʑ ɲ ɛ
wyraźny,v ɨ ˈ r a ʑ n ɨ
wyrażanie,v ɨ r a ˈ ʐ ã ɲ ɛ
wyrażać,v ɨ ˈ r a ʐ a t͡ɕ
wyrażenie,v ɨ r a ˈ ʐ ɛ̃ ɲ ɛ
wyrko,ˈ v ɨ r k ɔ
wyro,ˈ v ɨ r ɔ
wyrobić,v ɨ ˈ r ɔ b ʲ i t͡ɕ
wyrobnik,v ɨ ˈ r ɔ b ʲ ɲ i k
wyrodek,v ɨ ˈ r ɔ d ɛ k
wyrok,ˈ v ɨ r ɔ k
wyruszać,v ɨ ˈ r u ʂ a t͡ɕ
wyruszyć,v ɨ ˈ r u ʂ ɨ t͡ɕ
wyrwać,ˈ v ɨ r v a t͡ɕ
wyrwiząb,v ɨ r ˈ v ʲ i z ɔ̃ m p
wyrzucać,v ɨ ˈ ʐ u t͡s a t͡ɕ
wyrzucić,v ɨ ˈ ʐ u t͡ɕ i t͡ɕ
wyrzygać,v ɨ ˈ ʐ ɨ ɡ a t͡ɕ
wyrzygiwać,v ɨ ʐ ɨ ˈ ɡ ʲ i v a t͡ɕ
wyrzynarka,v ɨ ʐ ɨ ˈ n a r k a
wyrzynać,v ɨ ˈ ʐ ɨ n a t͡ɕ
wyrzysk,ˈ v ɨ ʐ ɨ s k
wyrządzać,v ɨ ˈ ʐ ɔ̃ n d͡z a t͡ɕ
wyrządzenie,v ɨ ʐ ɔ̃ n ˈ d͡z ɛ̃ ɲ ɛ
wyrządzić,v ɨ ˈ ʐ ɔ̃ ɲ d͡ʑ i t͡ɕ
wyrób,ˈ v ɨ r u p
wyrównać,v ɨ ˈ r u v n a t͡ɕ
wyrównywanie,v ɨ r u v n ɨ ˈ v ã ɲ ɛ
wyręczanie,v ɨ r ɛ̃ ɲ ˈ t͡ʂ ã ɲ ɛ
wyręczenie,v ɨ r ɛ̃ ɲ ˈ t͡ʂ ɛ̃ ɲ ɛ
wyrżnąć,ˈ v ɨ r ʐ n ɔ̃ ɲ t͡ɕ
wysłanie,v ɨ ˈ s w ã ɲ ɛ
wysłać,ˈ v ɨ s w a t͡ɕ
wysłowić,v ɨ ˈ s w ɔ v ʲ i t͡ɕ
wysłuchanie,v ɨ s w u ˈ x ã ɲ ɛ
wysłuchać,v ɨ ˈ s w u x a t͡ɕ
wysadzić,v ɨ ˈ s a d͡ʑ i t͡ɕ
wysepka,v ɨ ˈ s ɛ p k a
wysiadanie,v ɨ ɕ a ˈ d ã ɲ ɛ
wysiadać,v ɨ ˈ ɕ a d a t͡ɕ
wysiadywać,v ɨ ɕ a ˈ d ɨ v a t͡ɕ
wysiółek,v ɨ ˈ ɕ u w ɛ k
wysiąść,ˈ v ɨ ɕ ɔ̃ w̃ ɕ t͡ɕ
wysiłek,v ɨ ˈ ɕ i w ɛ k
wyskakiwać,v ɨ s k a ˈ c i v a t͡ɕ
wyskoczyć,v ɨ ˈ s k ɔ t͡ʂ ɨ t͡ɕ
wyskok,ˈ v ɨ s k ɔ k
wysmarowanie,v ɨ s m a r ɔ ˈ v ã ɲ ɛ
wysmażyć,v ɨ ˈ s m a ʐ ɨ t͡ɕ
wysoka,v ɨ ˈ s ɔ k a
wysoki,v ɨ ˈ s ɔ c i
wysoko,v ɨ ˈ s ɔ k ɔ
wysoko-,v ɨ ˈ s ɔ k ɔ
wysokobiałkowy,v ɨ s ɔ k ɔ b ʲ j a w ˈ k ɔ v ɨ
wysokociśnieniowy,v ɨ s ɔ k ɔ t͡ɕ i ɕ ɲ ɛ̃ ˈ ɲ ɔ v ɨ
wysokoczęstotliwościowy,v ɨ s ɔ k ɔ t͡ʂ ɛ̃ w̃ s t ɔ t l ʲ i v ɔ ɕ ˈ t͡ɕ ɔ v ɨ
wysokoemisyjny,v ɨ s ɔ k ɔ ɛ̃ m ʲ i ˈ s ɨ j n ɨ
wysokogórski,v ɨ s ɔ k ɔ ˈ ɡ u r s ʲ c i
wysokojakościowy,v ɨ s ɔ k ɔ j a k ɔ ɕ ˈ t͡ɕ ɔ v ɨ
wysokokaloryczny,v ɨ s ɔ k ɔ k a l ɔ ˈ r ɨ t͡ʂ n ɨ
wysokometanowy,v ɨ s ɔ k ɔ̃ m ɛ t ã ˈ n ɔ v ɨ
wysokonakładowy,v ɨ s ɔ k ɔ̃ n a k w a ˈ d ɔ v ɨ
wysokoplenny,v ɨ s ɔ k ɔ ˈ p l ɛ̃ n ɨ
wysokotemperaturowy,v ɨ s ɔ k ɔ t ɛ̃ m p ɛ r a t u ˈ r ɔ v ɨ
wysokowartościowy,v ɨ s ɔ k ɔ v a r t ɔ ɕ ˈ t͡ɕ ɔ v ɨ
wysokość,v ɨ ˈ s ɔ k ɔ ɕ t͡ɕ
wyspa,ˈ v ɨ s p a
wyspiarka,v ɨ s ˈ p ʲ j a r k a
wyspiarski,v ɨ s ˈ p ʲ j a r s ʲ c i
wyspiarz,ˈ v ɨ s p ʲ j a ʂ
wystarczająco,v ɨ s t a r t͡ʂ a ˈ j ɔ̃ n t͡s ɔ
wystarczanie,v ɨ s t a r ˈ t͡ʂ ã ɲ ɛ
wystarczać,v ɨ ˈ s t a r t͡ʂ a t͡ɕ
wystarczyć,v ɨ ˈ s t a r t͡ʂ ɨ t͡ɕ
wystawa,v ɨ ˈ s t a v a
wystawać,v ɨ ˈ s t a v a t͡ɕ
wystawianie,v ɨ s t a ˈ v ʲ j a ɲ ɛ
wystawiać,v ɨ ˈ s t a v ʲ j æ t͡ɕ
wystawienie,v ɨ s t a ˈ v ʲ j ɛ̃ ɲ ɛ
wystawić,v ɨ ˈ s t a v ʲ i t͡ɕ
wystawka,v ɨ ˈ s t a f k a
wystawnie,v ɨ ˈ s t a v ʲ ɲ ɛ
wystawny,v ɨ ˈ s t a v n ɨ
wystroić,v ɨ ˈ s t r ɔ s u p j s u p i t͡ɕ
wystrzelenie,v ɨ s ṭ ʂ ɛ ˈ l ɛ̃ ɲ ɛ
wystrzeliwać,v ɨ s ṭ ʂ ɛ ˈ l ʲ i v a t͡ɕ
wystrzelić,v ɨ ˈ s ṭ ʂ ɛ l ʲ i t͡ɕ
wystąpienie,v ɨ s t ɔ̃ m ˈ p ʲ j ɛ̃ ɲ ɛ
wystąpić,v ɨ ˈ s t ɔ̃ m p ʲ i t͡ɕ
występ,ˈ v ɨ s t ɛ̃ m p
występek,v ɨ ˈ s t ɛ̃ m p ɛ k
występowanie,v ɨ s t ɛ̃ m p ɔ ˈ v ã ɲ ɛ
występować,v ɨ s t ɛ̃ m ˈ p ɔ v a t͡ɕ
wysublimować,v ɨ s u b l ʲ i ˈ m ɔ v a t͡ɕ
wysunięcie,v ɨ s ũ ˈ ɲ ɛ̃ ɲ t͡ɕ ɛ
wysunąć,v ɨ ˈ s ũ n ɔ̃ ɲ t͡ɕ
wysyp,ˈ v ɨ s ɨ p
wysypywać,v ɨ s ɨ ˈ p ɨ v a t͡ɕ
wysyłanie,v ɨ s ɨ ˈ w ã ɲ ɛ
wysyłać,v ɨ ˈ s ɨ w a t͡ɕ
wysyłkowy,v ɨ s ɨ w ˈ k ɔ v ɨ
wyszczególnić,v ɨ ʂ t͡ʂ ɛ ˈ ɡ u l ʲ ɲ i t͡ɕ
wyszeptać,v ɨ ˈ ʂ ɛ p t a t͡ɕ
wyszków,ˈ v ɨ ʂ k u f
wyszogród,v ɨ ˈ ʂ ɔ ɡ r u t
wyszperać,v ɨ ˈ ʂ p ɛ r a t͡ɕ
wysztafirowanie,v ɨ ʂ t a f ʲ i r ɔ ˈ v ã ɲ ɛ
wysztafirować,v ɨ ʂ t a f ʲ i ˈ r ɔ v a t͡ɕ
wyszukiwanie,v ɨ ʂ u c i ˈ v ã ɲ ɛ
wyszukiwarka,v ɨ ʂ u c i ˈ v a r k a
wytaczak,v ɨ ˈ t a t͡ʂ a k
wytaczać,v ɨ ˈ t a t͡ʂ a t͡ɕ
wytentegować,v ɨ t ɛ̃ n t ɛ ˈ ɡ ɔ v a t͡ɕ
wytrwałość,v ɨ ˈ t r̥ f a w ɔ ɕ t͡ɕ
wytrysk,ˈ v ɨ t r ɨ s k
wytrzebić,v ɨ ˈ ṭ ʂ ɛ b ʲ i t͡ɕ
wytrzeszcz,ˈ v ɨ ṭ ʂ ɛ ʂ t͡ʂ
wytrzeć,ˈ v ɨ ṭ ʂ ɛ t͡ɕ
