čač,t͡ʃ a t͡ʃ
zfanatizovat,s f a n a t ɪ z ɔ v a t
zformalizovat,s f ɔ r m a l ɪ z ɔ v a t
zfotrovatět,s f ɔ t r ɔ v a c ɛ t
zgalvanisovat,z ɡ a l v a n ɪ z ɔ v a t
zgalvanizovat,z ɡ a l v a n ɪ z ɔ v a t
zgermanizovat,z ɡ ɛ r m a n ɪ z ɔ v a t
zglajchšaltování,ˈ z ɡ l a j x ʃ a l t ɔ v aː ɲ iː
zgruntu,z ɡ r ʊ n t ʊ
zhanobil,ˈ z ɦ a n ɔ b ɪ l
zharmonizovat,z ɦ a r m ɔ n ɪ z ɔ v a t
zhebnout,ˈ z ɦ e b n ɔ ʊ̯ t
zhlavnička,z ɦ l a v ɲ ɪ t͡ʃ k a
zhlaví,z ɦ l a v iː
zhltl,z ɦ l̩ t l̩
zhltnout,z ɦ l̩ t n ɔ ʊ̯ t
zhluboka,z ɦ l ʊ b ɔ k a
zhlédnout,z ɦ l ɛː d n ɔ ʊ̯ t
zhlédnouti,z ɦ l ɛː d n ɔ ʊ̯ c ɪ
zhlídnout,z ɦ l iː d n ɔ ʊ̯ t
zhlížet,z ɦ l iː ʒ ɛ t
zhlížeti,z ɦ l iː ʒ ɛ c ɪ
zhoršily,z ɦ ɔ r ʃ ɪ l ɪ
zhoršit,ˈ z ɦ ɔ r ʃ ɪ t
zhoršoval,z ɦ ɔ r ʃ ɔ v a l
zhoršovat,z ɦ ɔ r ʃ ɔ v a t
zhoršovati,z ɦ ɔ r ʃ ɔ v a c ɪ
zhoršuje,z ɦ ɔ r ʃ ʊ j ɛ
zhoršují,z ɦ ɔ r ʃ ʊ j iː
zhoubný,z ɦ ɔ ʊ̯ b n iː
zhouply,z ɦ ɔ ʊ̯ p l i
zhořelecký,z ɦ ɔ r̝ ɛ l ɛ t͡s k iː
zhruba,z ɦ r ʊ b a
zhrubnout,ˈ z ɦ r ʊ b n ɔ ʊ̯ t
zhrubnouti,z ɦ r ʊ b n ɔ ʊ̯ c ɪ
zhubivše,z ɦ ʊ b ɪ f ʃ ɛ
zhubnout,z ɦ ʊ b n ɔ ʊ̯ t
zhubnouti,z ɦ ʊ b n ɔ ʊ̯ c ɪ
zhumanizovat,z ɦ ʊ m a n ɪ z ɔ v a t
zhypnotizovat,z ɦ ɪ p n ɔ t ɪ z ɔ v a t
zhýralý,z ɦ iː r a l iː
zhůvěřilý,z ɦ uː v j ɛ r̝ ɪ l iː
zidanovka,z ɪ d a n ɔ f k a
zidealizovat,s ʔ ɪ d ɛ a l ɪ z ɔ v a t
zideologizovat,s ʔ ɪ d ɛ ɔ l ɔ ɡ ɪ z ɔ v a t
zifčák,ˈ z ɪ f t͡ʃ aː k
zika,ˈ z ɪ k a
zikkurat,z ɪ k ʊ r a t
ziková,z ɪ k ɔ v aː
zilvar,ˈ z ɪ l v a r
zima,z ɪ m a
zimbabwe,z ɪ m b a b v ɛ
zimbabwské,z ɪ m b a p f s k ɛː
zimbabwský,z ɪ m b a p f s k iː
zimní,z ɪ m ɲ iː
zimních,z ɪ m ɲ iː x
zimního,z ɪ m ɲ iː ɦ ɔ
zimník,z ɪ m ɲ iː k
zimolez,z ɪ m ɔ l ɛ s
zimomřivý,z ɪ m ɔ m r̝ ɪ v iː
zimostráz,z ɪ m ɔ s t r aː s
zimotvorný,z ɪ m ɔ t v ɔ r n iː
zimou,z ɪ m ɔ ʊ̯
zimoury,z ɪ m ɔ ʊ̯ r ɪ
zimovka,z ɪ m ɔ f k a
zimprovizovat,s ʔ ɪ m p r ɔ v ɪ z ɔ v a t
zimu,z ɪ m ʊ
zimy,z ɪ m ɪ
zimák,z ɪ m aː k
zimě,z ɪ m ɲ ɛ
zinek,z ɪ n ɛ k
zinkit,z ɪ ŋ k ɪ t
zinkový,z ɪ ŋ k ɔ v iː
zintelektualizovat,s ʔ ɪ n t ɛ l ɛ k t ʊ a l ɪ z ɔ v a t
zinventarizovat,s ʔ ɪ n v ɛ n t a r ɪ z ɔ v a t
zip,z ɪ p
zirkon,z ɪ r k ɔ n
zirkonium,z ɪ r k ɔ n ɪ j ʊ m
zirkonový,z ɪ r k ɔ n ɔ v iː
zironizovat,s ʔ ɪ r ɔ n ɪ z ɔ v a t
zisk,z ɪ s k
ziskový,z ɪ s k ɔ v iː
zisku,z ɪ s k ʊ
zjara,z j a r a
zjebat,z j e b a t
zjednav,ˈ z j ɛ d n a f
zjevný,ˈ z j ɛ v n iː
zjevně,z j ɛ v ɲ ɛ
zjistili,z j ɪ s c ɪ l ɪ
zjistit,z j ɪ s c ɪ t
zjistí,z j ɪ s c iː
zjištěn,z j ɪ ʃ c ɛ n
zjištěno,z j ɪ ʃ c ɛ n ɔ
zjištění,z j ɪ ʃ c ɛ ɲ iː
zjištěný,z j ɪ ʃ c ɛ n iː
zjištěným,z j ɪ ʃ c ɛ n iː m
zjišťovat,ˈ z j ɪ ʃ c ɔ v a t
zjišťovati,ˈ z j ɪ ʃ c ɔ v a c ɪ
zjišťují,z j ɪ ʃ c ʊ j iː
zkalit,s k a l ɪ t
zkamenělinu,s k a m ɛ ɲ ɛ l ɪ n ʊ
zkanalizovat,s k a n a l ɪ z ɔ v a t
zkatalogizovat,s k a t a l ɔ ɡ ɪ z ɔ v a t
zkažený,s k a ʒ ɛ n iː
zklamaný,s k l a m a n iː
zklamat,s k l a m a t
zklamati,s k l a m a c ɪ
zklamáni,s k l a m aː ɲ ɪ
zklamání,ˈ s k l a m aː ɲ iː
zklidnění,ˈ s k l ɪ d ɲ ɛ ɲ iː
zkolabovala,s k ɔ l a b ɔ v a l a
zkolabovali,s k ɔ l a b ɔ v a l ɪ
zkomplikovaly,s k ɔ m p l ɪ k ɔ v a l ɪ
zkomplikovat,ˈ s k ɔ m p l ɪ k ɔ v a t
zkomplikovati,ˈ s k ɔ m p l ɪ k ɔ v a c ɪ
zkondenzovat,ˈ s k ɔ n d ɛ n z ɔ v a t
zkonkretizovat,s k ɔ ŋ k r ɛ t ɪ z ɔ v a t
zkontrolovala,s k ɔ n t r ɔ l ɔ v a l a
zkontrolovat,s k ɔ n t r ɔ l ɔ v a t
zkoordinovat,ˈ s k ɔ ʔ ɔ r d ɪ n ɔ v a t
zkoprnělý,ˈ s k ɔ p r̩ ɲ ɛ l iː
zkorumpovaný,ˈ s k ɔ r ʊ m p ɔ v a n iː
zkorumpovat,ˈ s k ɔ r ʊ m p ɔ v a t
zkostnatělému,s k ɔ s t n a c ɛ l ɛː m ʊ
zkoumal,s k ɔ ʊ̯ m a l
zkoumat,s k ɔ ʊ̯ m a t
zkoumati,s k ɔ ʊ̯ m a c ɪ
zkoumav,s k ɔ ʊ̯ m a f
zkoušet,s k ɔ ʊ ʃ ɛ t
zkouška,s k ɔ ʊ̯ ʃ k a
zkoušku,s k ɔ ʊ̯ ʃ k ʊ
zkouší,s k ɔ ʊ̯ ʃ iː
zkrachovala,s k r a x ɔ v a l a
zkracuje,s k r a t͡s ʊ j ɛ
zkraje,s k r a j ɛ
zkratka,s k r a t k a
zkrať,ˈ s k r a c
zkreslený,s k r ɛ s l ɛ n iː
zkriminalizovat,s k r̩ ɪ m ɪ n a l ɪ z ɔ v a t
zkritizovat,s ʔ k r̩ ɪ t ɪ z ɔ v a t
zkrm,s k r̩ m
zkrystalizovat,s ʔ k r̩ ɪ s t a l ɪ z ɔ v a t
zkrácené,z k r aː t͡s ɛ n ɛː
zkrátil,s k r aː c ɪ l
zkrátit,s k r aː c ɪ t
zkrátka,s k r aː t k a
zkrášlovat,s k r aː ʃ l ɔ v a t
zkumavka,s k ʊ m a f k a
zkurvené,s k ʊ r v ɛ n ɛː
zkurvený,s k ʊ r v ɛ n iː
zkurvit,s k ʊ r v ɪ t
zkurvysyn,ˈ s k ʊ r v ɪ s ɪ n
zkus,s k ʊ s
zkusit,s k ʊ s ɪ t
zkušební,s k ʊ ʃ ɛ b ɲ iː
zkušebních,s k ʊ ʃ ɛ b ɲ iː m
zkušebním,s k ʊ ʃ ɛ b ɲ iː m
zkušenost,s k ʊ ʃ ɛ n ɔ s t
zkušený,s k ʊ ʃ ɛ n iː
zkáza,s k aː z a
zladit,ˈ z l a ɟ ɪ t
zlatej,z l a t ɛ j
zlatenka,z l a t ɛ ŋ k a
zlatice,ˈ z l a t ɪ t͡s ɛ
zlatička,z l a c ɪ t͡ʃ k a
zlatník,z l a t ɲ iː k
zlato,z l a t ɔ
zlatobýl,z l a t ɔ b iː l
zlatodárný,z l a t ɔ d aː r n iː
zlatohlav,z l a t ɔ ɦ l a f
zlatokop,ˈ z l a t ɔ k ɔ p
zlatokopka,z l a t ɔ k ɔ p k a
zlatokrčka,z l a t ɔ k r̩ t͡ʃ k a
zlatonosný,z l a t ɔ n ɔ s n iː
zlatostříbrný,z l a t ɔ s t r̝̊ iː b r̩ n iː
zlatočerný,z l a t ɔ t͡ʃ ɛ r n iː
zlatá,z l a t aː
zlaté,z l a t ɛː
zlatý,ˈ z l a t iː
zle,z l ɛ
zledovatělý,z l ɛ d ɔ v a c ɛ l iː
zlegalizovat,z l ɛ ɡ a l ɪ z ɔ v a t
zlehčována,z l ɛ x t͡ʃ ɔ v aː n a
zlepšení,z l ɛ p ʃ ɛ ɲ iː
zlepšit,z l ɛ p ʃ ɪ t
zlevnila,z l ɛ v ɲ ɪ l a
zliberalizovat,z l̩ ɪ b ɛ r a l ɪ z ɔ v a t
zlikvidoval,z l ɪ k v ɪ d ɔ v a l
zlikvidován,z l ɪ k v ɪ d ɔ v aː n
zlo,z l ɔ
zlobu,z l ɔ b ʊ
zlodušský,z l ɔ d ʊ ʃ s k iː
zloděj,z l ɔ ɟ ɛ j
zloděje,z l ɔ ɟ ɛ j ɛ
zlodějka,z l ɔ ɟ ɛ j k a
zlodějky,z l ɔ ɟ ɛ j k ɪ
zlodějů,z l ɔ ɟ ɛ j uː
zlodějův,z l ɔ ɟ ɛ j uː f
zlom,z l ɔ m
zlomek,z l ɔ m ɛ k
zlomen,z l ɔ m ɛ n
zlomenina,z l ɔ m ɛ ɲ ɪ n a
zlomený,z l ɔ m ɛ n iː
zlomit,z l ɔ m ɪ t
zlomiti,z l ɔ m ɪ c ɪ
zlomový,z l ɔ m ɔ v iː
zlomyslný,z l ɔ m ɪ s l̩ n iː
zlosyn,z l ɔ s ɪ n
zloté,z l ɔ t ɛː
zlotého,z l ɔ t ɛː ɦ ɔ
zlotém,z l ɔ t ɛː m
zlotému,z l ɔ t ɛː m ʊ
zlotý,z l ɔ t iː
zlotých,z l ɔ t iː x
zlotým,z l ɔ t iː m
zlotými,z l ɔ t iː m ɪ
zlozvuký,z l ɔ z v ʊ k iː
zločin,z l ɔ t͡ʃ ɪ n
zločince,z l ɔ t͡ʃ ɪ n t͡s ɛ
zločinec,ˈ z l ɔ t͡ʃ ɪ n ɛ t͡s
zločinnosti,z l ɔ t͡ʃ ɪ n ɔ s c ɪ
zločiny,z l ɔ t͡ʃ ɪ n ɪ
zločinů,z l ɔ t͡ʃ ɪ n uː
zlín,z l iː n
zlínsko,z l iː n s k ɔ
zlínsku,z l iː n s k ʊ
zlínská,z l iː n s k aː
zlínského,z l iː n s k ɛː ɦ ɔ
zlínském,z l iː n s k ɛː m
zlínský,z l iː n s k iː
zlý,z l iː
zmagnetizovat,z m a ɡ n ɛ t ɪ z ɔ v a t
zmapuje,z m a p ʊ j ɛ
zmapují,z m a p ʊ j iː
zmarlika,z m a r l ɪ k a
zmarný,z m a r n iː
zmasakroval,ˈ z m a s a k r ɔ v a l
zmatek,ˈ z m a t ɛ k
zmatematizovat,z m a t ɛ m a t ɪ z ɔ v a t
zmatený,ˈ z m a t ɛ n iː
zmařených,z m a r̝ ɛ n iː x
zmechanizovat,z m ɛ x a n ɪ z ɔ v a t
zmedializovat,z m ɛ d ɪ a l ɪ z ɔ v a t
zmenšenina,z m ɛ n ʃ ɛ ɲ ɪ n a
zmenšit,z m ɛ n ʃ ɪ t
zmije,z m ɪ j ɛ
zmijovka,z m ɪ j ɔ f k a
zmijozel,z m ɪ j ɔ z ɛ l
zmijí,z m̩ ɪ j iː
zminiaturizovat,z m ɪ n ɪ j a t ʊ r ɪ z ɔ v a t
zminimalizovat,z m ɪ n ɪ m a l ɪ z ɔ v a t
zmizela,z m ɪ z ɛ l a
zmizely,z m ɪ z ɛ l ɪ
zmizet,ˈ z m ɪ z ɛ t
zmiňuje,z m ɪ ɲ ʊ j ɛ
zmlkl,z m l̩ k l̩
zmlknout,z m l̩ k n ɔ ʊ̯ t
zmláceno,z m l aː t͡s ɛ ɲ ɔ
zmobilizovat,z m ɔ b ɪ l ɪ z ɔ v a t
zmoci,z m ɔ t͡s ɪ
zmocněnkyně,z m ɔ t s ɲ ɛ ŋ k ɪ ɲ ɛ
zmoct,z m ɔ t͡s t
zmodernizovat,z m ɔ d ɛ r n ɪ z ɔ v a t
zmonopolizovat,z m ɔ n ɔ p ɔ l ɪ z ɔ v a t
zmrd,z m r̩ t
zmrdat,z m r̩ d a t
zmrde,z m̩ r̩ d ɛ
zmrzl,z m r̩ z l̩
zmrzlina,z m r̩ z l ɪ n a
zmrzls,z m r̩ z l̩ s
zmrznout,z m r̩ z n ɔ ʊ̯ t
zmrš,z m r̩ ʃ
zmršit,z m̩ r̩ ʃ ɪ t
zmužilých,z m ʊ ʒ ɪ l iː x
zmínek,z m iː n ɛ k
zmínila,z m iː ɲ ɪ l a
zmínit,ˈ z m iː ɲ ɪ t
zmíněný,z m iː ɲ ɛ n iː
zmíněných,z m iː ɲ ɛ n iː x
změn,z m ɲ ɛ n
změna,z m ɲ ɛ n a
změnit,z m ɲ ɛ ɲ ɪ t
změny,z m ɲ ɛ n ɪ
změnám,z m ɲ ɛ n aː m
změní,z m ɲ ɛ ɲ iː
změněný,z m ɲ ɛ ɲ ɛ n iː
změň,z m ɲ ɛ ɲ
změřit,z m ɲ ɛ r̝ ɪ t
znělcový,z ɲ ɛ l t͡s ɔ v iː
znělec,z ɲ ɛ l ɛ t͡s
znělka,z ɲ ɛ l k a
zněly,z ɲ ɛ l ɪ
zněme,z ɲ ɛ m ɛ
zněte,z ɲ ɛ t ɛ
znacionalizovat,z n a t͡s ɪ ɔ n a l ɪ z ɔ v a t
znaje,z n a j ɛ
znajíc,z n a j iː t͡s
znajíce,z n a j iː t͡s ɛ
znak,z n a k
znakařka,z n a k a r̝̊ k a
znal,z n a l
znalce,z n a l t͡s ɛ
znalci,z n a l t͡s ɪ
znalců,z n a l t͡s uː
znalec,z n a l ɛ t͡s
znalecké,z n a l ɛ t͡s k ɛː
znalecký,z n a l ɛ t͡s k iː
znaleckých,z n a l ɛ t͡s k iː x
znalečné,z n a l ɛ t͡ʃ n ɛː
znalkyně,z n a l k ɪ ɲ ɛ
znalost,z n a l ɔ s t
znalosti,z n a l ɔ s c ɪ
znamenají,z n a m ɛ n a j iː
znamenala,z n a m ɛ n a l a
znamenalo,z n a m ɛ n a l ɔ
znamenat,z n a m ɛ n a t
znamená,z n a m ɛ n aː
znamení,z n a m ɛ ɲ iː
znavený,z n a v e n iː
značce,z n a t͡ʃ t͡s ɛ
značek,z n a t͡ʃ ɛ k
značený,ˈ z n a t͡ʃ ɛ n iː
značka,z n a t͡ʃ k a
značkami,z n a t͡ʃ k a m ɪ
značko,z n a t͡ʃ k ɔ
značkou,z n a t͡ʃ k ɔ ʊ̯
značkové,z n a t͡ʃ k ɔ v ɛː
značku,z n a t͡s k ʊ
značky,z n a t͡s k ɪ
značkách,z n a t͡ʃ k aː x
značkám,z n a t͡ʃ k aː m
značnou,z n a t͡ʃ n ɔ ʊ̯
značnému,z n a t͡ʃ n ɛː m ʊ
značný,z n a t͡ʃ n iː
značně,z n a t͡ʃ ɲ ɛ
znechutit,z n e x ʊ c ɪ t
znehodnotí,z n ɛ ɦ ɔ d n ɔ c iː
znemožnit,z n ɛ m ɔ ʒ ɲ ɪ t
znemožní,z n ɛ m ɔ ʒ ɲ iː
znemožněme,z n ɛ m ɔ ʒ ɲ ɛ m ɛ
znemožněny,z n ɛ m ɔ ʒ ɲ ɛ n ɪ
znemožňuje,z n ɛ m ɔ ʒ ɲ ʊ j ɛ
znenadání,z n ɛ n a d aː ɲ iː
znepokojen,z n ɛ p ɔ k ɔ j ɛ n
znepokojeny,z n ɛ p ɔ k ɔ j ɛ n ɪ
zneutralizovat,z n ɛ ʊ̯ t r a l ɪ z ɔ v a t
zneužil,z n ɛ ʊ ʒ ɪ l
zneužití,z n ɛ ʊ̯ ʒ ɪ c iː
zneužít,ˈ z n ɛ ʊ ʒ iː t
zneužít,ˈ z n ɛ ʊ̯ ʒ iː t
zneužít,ˈ z n ɛ ʔ ʊ ʒ iː t
zneužívat,z n ɛ ʊ ʒ iː v a t
znevýhodněný,z n ɛ v iː ɦ ɔ d ɲ ɛ n iː
znevýhodňuje,z n ɛ v iː ɦ ɔ d ɲ ʊ j ɛ
znečisťovatel,z n ɛ t ʃ ɪ s c ɔ v a t ɛ l
znečištěná,z n ɛ t͡ʃ ɪ ʃ c ɛ n aː
znečištěný,z n ɛ t͡ʃ ɪ ʃ c ɛ n iː
znečišťující,z n ɛ t͡ʃ ɪ ʃ c ʊ j iː t͡s iː
zni,z ɲ ɪ
zničehonic,z ɲ ɪ t͡ʃ ɛ ɦ ɔ ɲ ɪ t͡s
zničena,z ɲ ɪ t͡ʃ ɛ n a
zničeného,z ɲ ɪ t͡ʃ ɛ n ɛː ɦ ɔ
zničilo,z ɲ ɪ t͡ʃ ɪ l ɔ
zničily,z ɲ ɪ t͡ʃ ɪ l ɪ
zničit,z ɲ ɪ t͡ʃ ɪ t
zničiti,z ɲ ɪ t͡ʃ ɪ c ɪ
zničiv,ˈ z ɲ ɪ t͡ʃ ɪ f
znojemsko,z n ɔ j ɛ m s k ɔ
znojemský,z n ɔ j ɛ m s k iː
znojmo,z n ɔ j m ɔ
znormalizovat,z n ɔ r m a l ɪ z ɔ v a t
znova,z n ɔ v a
znovelizovat,z n ɔ v ɛ l ɪ z ɔ v a t
znovu,z n ɔ v ʊ
znovuobjevená,z n ɔ v ʊ ɔ b j ɛ v ɛ n aː
znovuobjevený,z n ɔ v ʊ ɔ b j ɛ v ɛ n iː
znovuotevřít,z n ɔ v ʊ ɔ t ɛ v r̝ iː t
zná,z n aː
znám,z n aː m
známek,z n aː m ɛ k
známi,z n aː m ɪ
známka,z n aː m k a
známku,z n aː m k ʊ
známky,z n aː m k ɪ
známo,z n aː m ɔ
známosti,z n aː m ɔ s c ɪ
známy,z n aː m ɪ
známé,z n aː m ɛː
známí,z n aː m iː
známý,ˈ z n aː m iː
znásilnila,z n aː s ɪ l ɲ ɪ l a
znásilnit,z n aː s ɪ l ɲ ɪ t
znásilnění,z n aː s ɪ l ɲ ɛ ɲ iː
znásilněním,z n aː s ɪ l ɲ ɛ ɲ iː m
znásobovat,ˈ z n aː s ɔ b ɔ v a t
znát,z n aː t
znáš,z n aː ʃ
zní,z ɲ iː
znít,z ɲ iː t
zníti,z ɲ iː c ɪ
zob,z ɔ p
zobat,z ɔ b a t
zobati,z ɔ b a c ɪ
zobcový,z ɔ p t͡s ɔ v iː
zobecňovací,z ɔ b ɛ t͡s ɲ ɔ v a t͡s iː
zobjektivizovat,s ʔ ɔ b j ɛ k t ɪ v ɪ z ɔ v a t
zobák,z ɔ b aː k
zodpovídat,z ɔ t p ɔ v iː d a t
zodpovědnost,z ɔ t p ɔ v j ɛ d n ɔ s t
zodpovědět,z ɔ t p ɔ v j ɛ ɟ ɛ t
zoficializovat,s ʔ ɔ f ɪ t͡s ɪ a l ɪ z ɔ v a t
zohledňuje,s ɔ ɦ l ɛ d ɲ ʊ j ɛ
zohledňuje,z ɔ ɦ l ɛ d ɲ ʊ j ɛ
zohyzdění,z ɔ ɦ ɪ z ɟ ɛ ɲ iː
zoisit,z ɔ j s ɪ t
zoltán,z ɔ l t aː n
zoo,z ɔ ɔ
zoocenóza,z ɔ ɔ t͡s ɛ n ɔː z a
zoochorní,z ɔ ɔ x ɔ r ɲ iː
zoofil,ˈ z ɔ ʔ ɔ f ɪ l
zoofilie,ˈ z ɔ ʔ ɔ f iː l ɪ j ɛ
zoofágní,z ɔ ɔ f aː ɡ ɲ iː
zoolog,z ɔ ɔ l ɔ k
zoologický,z ɔ ɔ l ɔ ɡ ɪ t͡s k iː
zoologie,z ɔ ɔ l ɔ ɡ ɪ j ɛ
zooložka,z ɔ ɔ l ɔ ʃ k a
zoopatologie,z ɔ ɔ p a t ɔ l ɔ ɡ ɪ j ɛ
zoopsychologie,z ɔ ɔ p s ɪ x ɔ l ɔ ɡ ɪ j ɛ
zoospora,z ɔ ɔ s p ɔ r a
zopakoval,s ɔ p a k ɔ v a l
zopakoval,z ɔ p a k ɔ v a l
zopakovala,z ɔ p a k ɔ v a l a
zopakovat,s ɔ p a k ɔ v a t
zopakovat,z ɔ p a k ɔ v a t
zoptimalizovat,s ʔ ɔ p t ɪ m a l ɪ z ɔ v a t
zor,z o r
zora,z ɔ r a
zora,ˈ z ɔ r a
zorat,z ɔ r a t
zorav,z ɔ r a f
zorganizovali,s ɔ r ɡ aː n ɪ z ɔ v a l ɪ
zorganizovali,z ɔ r ɡ aː n ɪ z ɔ v a l ɪ
zornicový,z ɔ r ɲ ɪ t͡s ɔ v iː
zornička,z ɔ r ɲ ɪ t͡ʃ k a
zorničkový,z ɔ r ɲ ɪ t͡ʃ k ɔ v iː
zorník,z ɔ r ɲ iː k
zůstal,z uː s t a l
zůstala,ˈ z uː s t a l a
zůstaly,z uː s t a l ɪ
zůstane,z uː s t a n ɛ
zůstaneš,ˈ z uː s t a n ɛ ʃ
zůstanou,z uː s t a n ɔ ʊ̯
zůstat,ˈ z uː s t a t
zůstav,z uː s t a f
zůstaviv,z uː s t a v ɪ f
zůstávají,z uː s t aː v a j iː
zůstávali,z uː s t aː v a l ɪ
zůstávaly,z uː s t aː v a l ɪ
zůstávat,z uː s t aː v a t
zůstává,z uː s t aː v aː
zoubečkovka,z ɔ ʊ̯ b ɛ t͡ʃ k ɔ f k a
zoufalec,z ɔ ʊ̯ f a l ɛ t͡s
zoufalkyně,z ɔ ʊ̯ f a l k ɪ ɲ ɛ
zoufalý,z ɔ ʊ̯ f a l iː
zoun,z ɔ ʊ̯ n
zout,z ɔ ʊ̯ t
zouvák,z ɔ ʊ̯ v aː k
zůza,z uː z a
zpět,s p j ɛ t
zpětinásobil,s p j ɛ c ɪ n aː s ɔ b ɪ l
zpětinásobit,s p j ɛ c ɪ n aː s ɔ b ɪ t
zpěv,s p j ɛ f
zpěvačka,s p j ɛ v a t͡ʃ k a
zpěvník,s p j ɛ v ɲ iː k
zpěvný,ˈ s p j ɛ v n iː
zpěvák,s p j ɛ v aː k
zpěvákův,s p j ɛ v aː k uː f
zpěváček,s p j ɛ v aː t͡ʃ ɛ k
zpřísnila,s p r̝̊ iː s ɲ ɪ l a
zpacifikovali,s p a t͡s ɪ f ɪ k ɔ v a l ɪ
zpackal,ˈ s p a t͡s k a l
zpackanou,s p a t͡s k a n ɔ ʊ̯
zpackat,s p a t͡s k a t
zpaměti,s p a m ɲ ɛ c ɪ
zpevnit,s p ɛ v ɲ ɪ t
zpevněný,s p ɛ v ɲ ɛ n iː
zplozenec,s p l ɔ z ɛ n ɛ t͡s
zplynovat,ˈ s p l ɪ n ɔ v a t
zpochybnění,s p ɔ x ɪ b ɲ ɛ ɲ iː
zpochybňují,s p ɔ x ɪ b ɲ ʊ j iː
zpod,s p ɔ t
zpoetizovat,s ʔ p ɔ ɛ t ɪ z ɔ v a t
zpohodlnět,s p ɔ ɦ ɔ d l̩ ɲ ɛ t
zpolarizovat,s p ɔ l a r ɪ z ɔ v a t
zpolitizovat,s p ɔ l ɪ t ɪ z ɔ v a t
zpomalit,s p ɔ m a l ɪ t
zpomalí,s p ɔ m a l iː
zpopularizovat,s p ɔ p ʊ l a r ɪ z ɔ v a t
způsob,s p uː s ɔ p
způsobem,s p uː s ɔ b ɛ m
způsobenou,s p uː s ɔ b ɛ n ɔ ʊ̯
způsobeny,s p uː s ɔ b ɛ n ɪ
způsobené,s p uː s ɔ b ɛ n ɛː
způsobený,s p uː s ɔ b ɛ n iː
způsobil,s p uː s ɔ b ɪ l
způsobilo,s p uː s ɔ b ɪ l ɔ
způsobit,s p uː s ɔ b ɪ t
způsobí,s p uː s ɔ b iː
zpovykaný,ˈ s p ɔ v ɪ k a n iː
zpovzdáli,s p ɔ v z d aː l ɪ
zpovzdálí,s p ɔ v z d aː l iː
zpovědnice,s p ɔ v j ɛ d ɲ ɪ t͡s ɛ
zpovědnicový,s p ɔ v j ɛ d ɲ ɪ t͡s ɔ v iː
zpoza,s p ɔ z a
zpozorovavše,s p ɔ z ɔ r ɔ v a f ʃ ɛ
zpoždění,s p ɔ ʒ ɟ ɛ ɲ iː
zpožděním,s p ɔ ʒ ɟ ɛ ɲ iː m
zpracovat,ˈ s p r a t͡s ɔ v a t
zpracovati,ˈ s p r a t͡s ɔ v a c ɪ
zpracovány,s p r a t͡s ɔ v aː n ɪ
zpracování,s p r a t͡s ɔ v aː ɲ iː
zpracovávat,s p r a t s ɔ v aː v a t
zpracovávati,s p r a t s ɔ v aː v a c ɪ
zpracovávána,s p r a t͡s ɔ v aː v aː n a
zpravidla,ˈ s p r a v ɪ d l a
zpravit,s p r a v ɪ t
zpraviti,s p r a v ɪ c ɪ
zpravodaj,s p r a v ɔ d a j
zpravodajec,ˈ s p r a v ɔ d a j ɛ t͡s
zpravodajsko-publicistický,s p r a v ɔ d a j s k ɔ p ʊ b l ɪ t͡s ɪ s t ɪ t͡s k iː
zpravodajský,s p r a v ɔ d a j s k iː
zpravodajství,s p r a v ɔ d a j s t v iː
zprcat,s p r̩ t͡s a t
zprivatizovat,s p r ɪ v a t ɪ z ɔ v a t
zproblematizovat,s p r ɔ b l ɛ m a t ɪ z ɔ v a t
zprofesionalizovat,s p r ɔ f ɛ s ɪ ɔ n a l ɪ z ɔ v a t
zproletarizovat,s p r ɔ l ɛ t a r ɪ z ɔ v a t
zpronevěry,s p r ɔ n ɛ v j ɛ r ɪ
zpronevěřil,s p r ɔ n ɛ v j ɛ r̝ ɪ l
zpropadené,s p r ɔ p a d ɛ n ɛː
zprostil,s p r ɔ s c ɪ l
zprostit,s p r ɔ s c ɪ t
zprostiti,s p r ɔ s c ɪ c ɪ
zprovozněno,s p r ɔ v ɔ z ɲ ɛ n ɔ
zpráv,s p r aː f
zpráva,s p r aː v a
zprávami,s p r aː v a m ɪ
zprávička,s p r aː v ɪ t͡ʃ k a
zprávou,s p r aː v ɔ ʊ̯
zprávu,s p r aː v ʊ
zprávy,s p r aː v ɪ
zprůmyslnit,s p r uː m ɪ s l̩ ɲ ɪ c ɪ
zpuchřelý,ˈ s p ʊ x r̝̊ ɛ l iː
zpuchřet,s p ʊ x r̝̊ ɛ t
zpychnout,ˈ s p ɪ x n ɔ ʊ̯ t
zpytba,ˈ s p ɪ d b a
zpyták,s p ɪ t aː k
zpátečník,s p aː t ɛ t͡ʃ ɲ iː k
zpátky,ˈ s p aː t k ɪ
zpívaje,s p iː v a j ɛ
zpívajíce,s p iː v a j iː t͡s ɛ
zpívat,s p iː v a t
zpívání,s p iː v aː ɲ iː
zpíváních,s p iː v aː ɲ iː x
zpíváním,s p iː v aː ɲ iː m
zpíváními,s p iː v aː ɲ iː m ɪ
zracionalizovat,z r a t͡s ɪ ɔ n a l ɪ z ɔ v a t
zradikalizovat,z r a d ɪ k a l ɪ z ɔ v a t
zradit,z r a ɟ ɪ t
zraditi,z r a ɟ ɪ c ɪ
zrak,z r a k
zrakový,z r a k ɔ v iː
zralý,z r a l iː
zranil,z r a ɲ ɪ l
zranili,z r a ɲ ɪ l ɪ
