ăl,ə l
rășfet,r ə ʃ ˈ f e t
rășinar,r ə ʃ i ˈ n a r
rășinoase,r ə ʃ i ˈ n o̯ a s e
rășinos,r ə ʃ i ˈ n o s
rășină,r ə ˈ ʃ i n ə
rășinărie,r ə ʃ i n ə ˈ r i e
rășlui,r ə ʃ l u ˈ i
rășluire,r ə ʃ l u ˈ i r e
rășluit,r ə ʃ l u ˈ i t
rășpălui,r ə ʃ p ə l u ˈ i
rășpăluire,r ə ʃ p ə l u ˈ i r e
rășpăluit,r ə ʃ p ə l u ˈ i t
rățișoară,r ə t͡s i ˈ ʃ o̯ a r ə
rățoi,r ə t͡s o ˈ i
rățoi,r ə ˈ t͡s o j
rățoire,r ə t͡s o ˈ i r e
rățucă,r ə ˈ t͡s u k ə
rățușcă,r ə ˈ t͡s u ʃ k ə
răbda,r ə b ˈ d a
răbdare,r ə b ˈ d a r e
răbdător,r ə b d ə ˈ t o r
răbegit,r ə b e ˈ d ʒ i t
răblăgi,r ə b l ə ˈ d ʒ i
răblăgire,r ə b l ə ˈ d ʒ i r e
răblăgit,r ə b l ə ˈ d ʒ i t
răblărire,r ə b l ə ˈ r i r e
răblărit,r ə b l ə ˈ r i t
răboj,r ə ˈ b o ʒ
răboji,r ə b o ˈ ʒ i
răbojire,r ə b o ˈ ʒ i r e
răbufneală,r ə b u f ˈ n e̯ a l ə
răbufni,r ə b u f ˈ n i
răbufnire,r ə b u f ˈ n i r e
răbufnitură,r ə b u f n i ˈ t u r ə
răbui,r ə b u ˈ i
răbuire,r ə b u ˈ i r e
răbuit,r ə b u ˈ i t
răbuș,r ə ˈ b u ʃ
răcan,r ə ˈ k a n
răcar,r ə ˈ k a r
răceală,r ə ˈ t͡ʃ e̯ a l ə
răchitan,r ə k i ˈ t a n
răchitar,r ə k i ˈ t a r
răchitiș,r ə k i ˈ t i ʃ
răchită,r ə ˈ k i t ə
răchițică,r ə k i ˈ t͡s i k ə
răci,r ə ˈ t͡ʃ i
răcilă,r ə ˈ t͡ʃ i l ə
răcire,r ə ˈ t͡ʃ i r e
răcit,r ə ˈ t͡ʃ i t
răcitor,r ə t͡ʃ i ˈ t o r
răcitură,r ə t͡ʃ i ˈ t u r ə
răcluire,r ə k l u ˈ i r e
răcnet,ˈ r ə k n e t
răcni,r ə k ˈ n i
răcnire,r ə k ˈ n i r e
răcoare,r ə ˈ k o̯ a r e
răcoreală,r ə k o ˈ r e̯ a l ə
răcori,r ə k o ˈ r i
răcorire,r ə k o ˈ r i r e
răcorit,r ə k o ˈ r i t
răcoritoare,r ə k o r i ˈ t o̯ a r e
răcoritor,r ə k o r i ˈ t o r
răcoros,r ə k o ˈ r o s
răcovină,r ə k o ˈ v i n ə
răculeț,r ə k u ˈ l e t͡s
răcușcă,r ə ˈ k u ʃ k ə
răcușor,r ə k u ˈ ʃ o r
răcădui,r ə k ə d u ˈ i
răcăduire,r ə k ə d u ˈ i r e
răcălire,r ə k ə ˈ l i r e
răcăluire,r ə k ə l u ˈ i r e
răcănel,r ə k ə ˈ n e l
răcăni,r ə k ə ˈ n i
răcănire,r ə k ə ˈ n i r e
rădașcă,r ə ˈ d a ʃ k ə
rădaște,r ə ˈ d a ʃ t e
rădica,r ə d i ˈ k a
rădicare,r ə d i ˈ k a r e
răducere,r ə d u ˈ t͡ʃ e r e
rădvan,r ə d ˈ v a n
rădăcini,r ə d ə ˈ t͡ʃ i n ʲ
rădăciniș,r ə d ə t͡ʃ i ˈ n i ʃ
rădăcinoasă,r ə d ə t͡ʃ i ˈ n o̯ a s ə
rădăcinos,r ə d ə t͡ʃ i ˈ n o s
rădăcină,r ə d ə ˈ t͡ʃ i n ə
răftuleț,r ə f t u ˈ l e t͡s
răfui,r ə f u ˈ i
răfuire,r ə f u ˈ i r e
răgace,r ə ˈ ɡ a t͡ʃ e
răgaz,r ə ˈ ɡ a z
răget,ˈ r ə d ʒ e t
răgi,r ə ˈ d ʒ i
răgila,r ə d ʒ i ˈ l a
răgilare,r ə d ʒ i ˈ l a r e
răgilat,r ə d ʒ i ˈ l a t
răgire,r ə ˈ d ʒ i r e
răgoz,r ə ˈ ɡ o z
răgușeală,r ə ɡ u ˈ ʃ e̯ a l ə
răguși,r ə ɡ u ˈ ʃ i
răgușire,r ə ɡ u ˈ ʃ i r e
răgușit,r ə ɡ u ˈ ʃ i t
răgăduire,r ə ɡ ə d u ˈ i r e
răgălie,r ə ɡ ə ˈ l i e
răire,r ə ˈ i r e
rămas,r ə ˈ m a s
rămurat,r ə m u ˈ r a t
rămuri,r ə m u ˈ r i
rămurire,r ə m u ˈ r i r e
rămuriș,r ə m u ˈ r i ʃ
rămuros,r ə m u ˈ r o s
rămâne,r ə ˈ m ɨ n e
rămânere,r ə m ɨ ˈ n e r e
rămășag,r ə m ə ˈ ʃ a ɡ
rămășeală,r ə m ə ˈ ʃ e̯ a l ə
rămăși,r ə m ə ˈ ʃ i
rămășire,r ə m ə ˈ ʃ i r e
rămășiță,r ə m ə ˈ ʃ i t͡s ə
răni,r ə ˈ n i
rănire,r ə ˈ n i r e
rănit,r ə ˈ n i t
răntălire,r ə n t ə ˈ l i r e
răpi,r ə ˈ p i
răpire,r ə ˈ p i r e
răpit,r ə ˈ p i t
răpitoare,r ə p i ˈ t o̯ a r e
răpitor,r ə p i ˈ t o r
răpitură,r ə p i ˈ t u r ə
răposa,r ə p o ˈ s a
răposare,r ə p o ˈ s a r e
răposat,r ə p o ˈ s a t
răpuitoare,r ə p u i ˈ t o̯ a r e
răpuitor,r ə p u i ˈ t o r
răpune,r ə ˈ p u n e
răpunere,r ə p u ˈ n e r e
răpus,r ə ˈ p u s
răpuse,r ə ˈ p u s e
răpăi,r ə p ə ˈ i
răpăire,r ə p ə ˈ i r e
răpăitor,r ə p ə i ˈ t o r
răpăitură,r ə p ə i ˈ t u r ə
răpăluire,r ə p ə l u ˈ i r e
răpănos,r ə p ə ˈ n o s
răpști,r ə p ˈ ʃ t i
răpștire,r ə p ˈ ʃ t i r e
rări,r ə ˈ r i
răricel,r ə r i ˈ t͡ʃ e l
rărire,r ə ˈ r i r e
rărit,r ə ˈ r i t
răritură,r ə r i ˈ t u r ə
răriș,r ə ˈ r i ʃ
rărișor,r ə r i ˈ ʃ o r
rărița,r ə r i ˈ t͡s a
rărițare,r ə r i ˈ t͡s a r e
rărițat,r ə r i ˈ t͡s a t
răsădi,r ə s ə ˈ d i
răsădire,r ə s ə ˈ d i r e
răsări,r ə s ə ˈ r i
răsărire,r ə s ə ˈ r i r e
răsărit,r ə s ə ˈ r i t
răsăritor,r ə s ə r i ˈ t o r
răsătură,r ə s ə ˈ t u r ə
răsști,r ə s ˈ ʃ t i
răsștire,r ə s ˈ ʃ t i r e
răsad,r ə ˈ s a d
răsadniță,r ə s ˈ a d n i t͡s ə
răschiat,r ə s k i ˈ a t
răschira,r ə s k i ˈ r a
răschirare,r ə s k i ˈ r a r e
răschirat,r ə s k i ˈ r a t
răschitor,r ə s k i ˈ t o r
răsciti,r ə s t͡ʃ i ˈ t i
răscitire,r ə s t͡ʃ i ˈ t i r e
răscloci,r ə s k l o ˈ t͡ʃ i
răsclocire,r ə s k l o ˈ t͡ʃ i r e
răscoace,r ə s ˈ k o̯ a t͡ʃ e
răscoacere,r ə s ˈ k o̯ a t͡ʃ e r e
răscoage,r ə s ˈ k o̯ a d ʒ e
răscoală,r ə s ˈ k o̯ a l ə
răscol,ˈ r ə s k o l
răscoli,r ə s k o ˈ l i
răscolire,r ə s k o ˈ l i r e
răscolit,r ə s k o ˈ l i t
răscolitor,r ə s k o l i ˈ t o r
răscopt,r ə s ˈ k o p t
răscovăire,r ə s k o v ə ˈ i r e
răscroi,r ə s k r o ˈ i
răscroire,r ə s k r o ˈ i r e
răscroit,r ə s k r o ˈ i t
răscroitură,r ə s k r o i ˈ t u r ə
răscruce,r ə s ˈ k r u t͡ʃ e
răscrăcănare,r ə s k r ə k ə ˈ n a r e
răscrăcăra,r ə s k r ə k ə ˈ r a
răscrăcărare,r ə s k r ə k ə ˈ r a r e
răscrăcărat,r ə s k r ə k ə ˈ r a t
răscula,r ə s k u ˈ l a
răsculare,r ə s k u ˈ l a r e
răsculat,r ə s k u ˈ l a t
răsculător,r ə s k u l ə ˈ t o r
răscumpăra,r ə s k u m p ə ˈ r a
răscumpărabil,r ə s k u m p ə ˈ r a b i l
răscumpărare,r ə s k u m p ə ˈ r a r e
răscumpărat,r ə s k u m p ə ˈ r a t
răscunoscut,r ə s k u n o s ˈ k u t
răscăcăra,r ə s k ə k ə ˈ r a
răscăcărare,r ə s k ə k ə ˈ r a r e
răscăcărat,r ə s k ə k ə ˈ r a t
răscălire,r ə s k ə ˈ l i r e
răsfierbere,r ə s ˈ f j e r b e r e
răsfira,r ə s f i ˈ r a
răsfirare,r ə s f i ˈ r a r e
răsfirat,r ə s f i ˈ r a t
răsflocire,r ə s f l o ˈ t͡ʃ i r e
răsfoi,r ə s f o ˈ i
răsfoire,r ə s f o ˈ i r e
răsfoit,r ə s f o ˈ i t
răsfrânge,r ə s ˈ f r ɨ n d ʒ e
răsfrângere,r ə s ˈ f r ɨ n d ʒ e r e
răsfrânt,r ə s ˈ f r ɨ n t
răsfug,r ə s ˈ f u ɡ
răsfăț,r ə s ˈ f ə t͡s
răsfăța,r ə s f ə ˈ t͡s a
răsfățare,r ə s f ə ˈ t͡s a r e
răsfățat,r ə s f ə ˈ t͡s a t
răsfățătură,r ə s f ə t͡s ə ˈ t u r ə
răspas,r ə s ˈ p a s
răspica,r ə s p i ˈ k a
răspicare,r ə s p i ˈ k a r e
răspicat,r ə s p i ˈ k a t
răsplată,r ə s ˈ p l a t ə
răsplămădi,r ə s p l ə m ə ˈ d i
răsplămădire,r ə s p l ə m ə ˈ d i r e
răsplăti,r ə s p l ə ˈ t i
răsplătire,r ə s p l ə ˈ t i r e
răspopi,r ə s p o ˈ p i
răspopire,r ə s p o ˈ p i r e
răspopit,r ə s p o ˈ p i t
răspunde,r ə s ˈ p u n d e
răspundere,r ə s ˈ p u n d e r e
răspuns,r ə s ˈ p u n s
răspunsuri,r ə s ˈ p u n s u r ʲ
răspunzător,r ə s p u n z ə ˈ t o r
răsputere,r ə s p u ˈ t e r e
răspândi,r ə s p ɨ n ˈ d i
răspândire,r ə s p ɨ n ˈ d i r e
răspândit,r ə s p ɨ n ˈ d i t
răspânditoare,r ə s p ɨ n d i ˈ t o̯ a r e
răspânditor,r ə s p ɨ n d i ˈ t o r
răspântie,r ə s ˈ p ɨ n t i e
răspăr,r ə s ˈ p ə r
răstav,r ə s ˈ t a v
răsteală,r ə s ˈ t e̯ a l ə
răsti,r ə s ˈ t i
răstigni,r ə s t i ɡ ˈ n i
răstignire,r ə s t i ɡ ˈ n i r e
răstignit,r ə s t i ɡ ˈ n i t
răstimp,r ə s ˈ t i m p
răstire,r ə s ˈ t i r e
răstit,r ə s ˈ t i t
răstoacă,r ə s ˈ t o̯ a k ə
răstoarce,r ə s ˈ t o̯ a r t͡ʃ e
răstoarcere,r ə s ˈ t o̯ a r t͡ʃ e r e
răstoci,r ə s t o ˈ t͡ʃ i
răstocire,r ə s t o ˈ t͡ʃ i r e
răstocit,r ə s t o ˈ t͡ʃ i t
răsturna,r ə s t u r ˈ n a
răsturnare,r ə s t u r ˈ n a r e
răsturnat,r ə s t u r ˈ n a t
răsturniș,r ə s t u r ˈ n i ʃ
răsturnătoare,r ə s t u r n ə ˈ t o̯ a r e
răsturnător,r ə s t u r n ə ˈ t o r
răstălmăci,r ə s t ə l m ə ˈ t͡ʃ i
răstălmăcire,r ə s t ə l m ə ˈ t͡ʃ i r e
răstălmăcit,r ə s t ə l m ə ˈ t͡ʃ i t
răsuc,r ə s ˈ u k
răsuceală,r ə s u ˈ t͡ʃ e̯ a l ə
răsuci,r ə s u ˈ t͡ʃ i
răsucire,r ə s u ˈ t͡ʃ i r e
răsucit,r ə s u ˈ t͡ʃ i t
răsucitoare,r ə s u t͡ʃ i ˈ t o̯ a r e
răsucitor,r ə s u t͡ʃ i ˈ t o r
răsucitură,r ə s u t͡ʃ i ˈ t u r ə
răsufla,r ə ˈ s u f l a
răsuflare,r ə s u ˈ f l a r e
răsuflat,r ə ˈ s u f l a t
răsuflet,r ə ˈ s u f l e t
răsuflu,r ə ˈ s u f l u
răsuflătoare,r ə s u f l ə ˈ t o̯ a r e
răsuflător,r ə s u f l ə ˈ t o r
răsuflătură,r ə s u f l ə ˈ t u r ə
răsuna,r ə s u ˈ n a
răsunare,r ə s u ˈ n a r e
răsunet,r ə s u ˈ n e t
răsunător,r ə s u n ə ˈ t o r
răsurare,r ə s u ˈ r a r e
răsurei,r ə s u ˈ r e j
răsură,r ə ˈ s u r ə
răszice,r ə s ˈ z i t͡ʃ e
răszicere,r ə s ˈ z i t͡ʃ e r e
răsînțelege,r ə s ɨ n t͡s e ˈ l e d ʒ e
răsînțelegere,r ə s ɨ n t͡s e ˈ l e d ʒ e r e
răterire,r ə t e ˈ r i r e
rătez,r ə ˈ t e z
rătuire,r ə t u ˈ i r e
rătund,r ə ˈ t u n d
rătunji,r ə t u n ˈ ʒ i
rătunjire,r ə t u n ˈ ʒ i r e
rătunzit,r ə t u n ˈ z i t
rătuti,r ə t u ˈ t i
rătutire,r ə t u ˈ t i r e
rătutit,r ə t u ˈ t i t
rătutiș,r ə t u ˈ t i ʃ
rătăci,r ə t ə ˈ t͡ʃ i
rătăcire,r ə t ə ˈ t͡ʃ i r e
rătăcit,r ə t ə ˈ t͡ʃ i t
rătăcitor,r ə t ə t͡ʃ i ˈ t o r
rătălire,r ə t ə ˈ l i r e
rău,r ə w
răufăcătoare,r ə w f ə k ə ˈ t o̯ a r e
răufăcător,r ə w f ə k ə ˈ t o r
răutăcios,r ə u t ə ˈ t͡ʃ j o s
răuvoitor,r ə w v o i ˈ t o r
răvar,r ə ˈ v a r
răvaș,r ə ˈ v a ʃ
răvineală,r ə v i ˈ n e̯ a l ə
răvăcire,r ə v ə ˈ t͡ʃ i r e
răvășeală,r ə v ə ˈ ʃ e̯ a l ə
răvășel,r ə v ə ˈ ʃ e l
răvăși,r ə v ə ˈ ʃ i
răvășire,r ə v ə ˈ ʃ i r e
răvășit,r ə v ə ˈ ʃ i t
răzălui,r ə z ə l u ˈ i
răzăluire,r ə z ə l u ˈ i r e
răzăluit,r ə z ə l u ˈ i t
răzătoare,r ə z ə ˈ t o̯ a r e
răzătură,r ə z ə ˈ t u r ə
răzășesc,r ə z ə ˈ ʃ e s k
răzare,r ə ˈ z a r e
răzbate,r ə z ˈ b a t e
răzbatere,r ə z ˈ b a t e r e
răzbel,r ə z ˈ b e l
răzbi,r ə z ˈ b i
răzbicire,r ə z b i ˈ t͡ʃ i r e
răzbire,r ə z ˈ b i r e
răzbit,r ə z ˈ b i t
răzbitor,r ə z b i ˈ t o r
războaie,r ə z ˈ b o̯ a j e
război,r ə z b o ˈ i
război,r ə z ˈ b o j
războinicesc,r ə z b o j n i ˈ t͡ʃ e s k
războire,r ə z b o ˈ i r e
războitor,r ə z b o i ˈ t o r
războiul,r ə z ˈ b o j u l
războli,r ə z b o ˈ l i
războlire,r ə z b o ˈ l i r e
războlit,r ə z b o ˈ l i t
răzbubui,r ə z b u b u ˈ i
răzbubuire,r ə z b u b u ˈ i r e
răzbubuit,r ə z b u b u ˈ i t
răzbucuros,r ə z b u k u ˈ r o s
răzbun,r ə z ˈ b u n
răzbuna,r ə z b u ˈ n a
răzbunare,r ə z b u ˈ n a r e
răzbunat,r ə z b u ˈ n a t
răzbunic,r ə z b u ˈ n i k
răzbunică,r ə z b u ˈ n i k ə
răzbunător,r ə z b u n ə ˈ t o r
răzbătător,r ə z b ə t ə ˈ t o r
răzda,r ə z ˈ d a
răzdare,r ə z ˈ d a r e
răzeș,r ə ˈ z e ʃ
răzeșime,r ə z e ˈ ʃ i m e
răzeșiță,r ə z e ˈ ʃ i t͡s ə
răzghina,r ə z ɡ i ˈ n a
răzghinare,r ə z ɡ i ˈ n a r e
răzghinat,r ə z ɡ i ˈ n a t
răzgândi,r ə z ɡ ɨ n ˈ d i
răzgândire,r ə z ɡ ɨ n ˈ d i r e
răzima,r ə z i ˈ m a
răzimare,r ə z i ˈ m a r e
răzimat,r ə z i ˈ m a t
răzimătoare,r ə z i m ə ˈ t o̯ a r e
răzișoară,r ə z i ˈ ʃ o̯ a r ə
răzjudeca,r ə z ʒ u d e ˈ k a
răzjudecare,r ə z ʒ u d e ˈ k a r e
răzjudecat,r ə z ʒ u d e ˈ k a t
răzleț,r ə z ˈ l e t͡s
răzleți,r ə z l e ˈ t͡s i
răzlețire,r ə z l e ˈ t͡s i r e
răzlog,r ə z ˈ l o ɡ
răzmeri,r ə z m e ˈ r i
răzmerire,r ə z m e ˈ r i r e
răzmeriță,r ə z ˈ m e r i t͡s ə
răzmiriță,r ə z ˈ m i r i t͡s ə
răznepot,r ə z n e ˈ p o t
răzni,r ə z ˈ n i
răznire,r ə z ˈ n i r e
răzor,r ə ˈ z o r
răzori,r ə z o ˈ r i
răzorire,r ə z o ˈ r i r e
răzui,r ə z u ˈ i
răzuire,r ə z u ˈ i r e
răzuit,r ə z u ˈ i t
răzuitor,r ə z u i ˈ t o r
răzuitură,r ə z u i ˈ t u r ə
răzuș,r ə ˈ z u ʃ
răzvedire,r ə z v e ˈ d i r e
răzvestire,r ə z v e s ˈ t i r e
răzvidi,r ə z v i ˈ d i
răzvidire,r ə z v i ˈ d i r e
răzvidit,r ə z v i ˈ d i t
răzvrăti,r ə z v r ə ˈ t i
răzvrătire,r ə z v r ə ˈ t i r e
răzvrătit,r ə z v r ə ˈ t i t
răzvrătitoare,r ə z v r ə t i ˈ t o̯ a r e
răzvrătitor,r ə z v r ə t i ˈ t o r
r,e r
r,r e
rașcheta,r a ʃ k e ˈ t a
rașchetare,r a ʃ k e ˈ t a r e
rașchetat,r a ʃ k e ˈ t a t
rașchetatoare,r a ʃ k e t a ˈ t o̯ a r e
rașchetator,r a ʃ k e t a ˈ t o r
rașchetă,r a ʃ ˈ k e t ə
rașcă,ˈ r a ʃ k ə
rașel,r a ˈ ʃ e l
rașpel,ˈ r a ʃ p e l
rașpil,r a ʃ ˈ p i l
rașpilă,r a ʃ ˈ p i l ə
rașpă,ˈ r a ʃ p ə
rațcă,ˈ r a t͡s k ə
rațe,ˈ r a t͡s e
rație,ˈ r a t͡s i e
rațiocinare,r a t͡s i o t͡ʃ i ˈ n a r e
raționabil,r a t͡s i o ˈ n a b i l
raționalism,r a t͡s i o n a ˈ l i s m
raționalist,r a t͡s i o n a ˈ l i s t
raționalizare,r a t͡s i o n a l i ˈ z a r e
raționalizat,r a t͡s i o n a l i ˈ z a t
raționament,r a t͡s i o n a ˈ m e n t
raționare,r a t͡s i o ˈ n a r e
rațiune,r a t͡s i ˈ u n e
rață,ˈ r a t͡s ə
rabană,r a ˈ b a n ə
rabarbură,r a b a r ˈ b u r ə
rabat,r a ˈ b a t
rabata,r a b a ˈ t a
rabatabil,r a b a ˈ t a b i l
rabatare,r a b a ˈ t a r e
rabatat,r a b a ˈ t a t
rabate,r a ˈ b a t e
rabatere,r a ˈ b a t e r e
rabator,r a b a ˈ t o r
rabdomanție,r a b d o m a n ˈ t͡s i e
rabiat,r a b i ˈ a t
rabic,ˈ r a b i k
rabie,ˈ r a b i e
rabin,r a ˈ b i n
rabinat,r a b i ˈ n a t
rabinic,r a ˈ b i n i k
rabinism,r a b i ˈ n i s m
rablagi,r a b l a ˈ d ʒ i
rablagie,r a b l a ˈ d ʒ i e
rablagire,r a b l a ˈ d ʒ i r e
rablagit,r a b l a ˈ d ʒ i t
rablă,ˈ r a b l ə
rabota,r a b o ˈ t a
rabotaj,r a b o ˈ t a ʒ
rabotare,r a b o ˈ t a r e
rabotat,r a b o ˈ t a t
raboteză,r a b o ˈ t e z ə
rabotor,r a b o ˈ t o r
rac,r a k
racemic,r a ˈ t͡ʃ e m i k
racemiform,r a t͡ʃ e m i ˈ f o r m
racemizare,r a t͡ʃ e m i ˈ z a r e
rachetist,r a k e ˈ t i s t
rachetodrom,r a k e t o ˈ d r o m
rachetomodel,r a k e t o m o ˈ d e l
rachetomodelism,r a k e t o m o d e ˈ l i s m
rachetomodelist,r a k e t o m o d e ˈ l i s t
rachetomodelistă,r a k e t o m o d e ˈ l i s t ə
rachetă,r a ˈ k e t ə
rachiaș,r a k i ˈ a ʃ
rachier,r a k i ˈ e r
rachierie,r a k i e ˈ r i e
raci,ˈ r a t͡ʃ ʲ
racilă,ˈ r a t͡ʃ i l ə
rack,r a k
racla,r a ˈ k l a
raclaj,r a ˈ k l a ʒ
raclare,r a ˈ k l a r e
racletă,r a ˈ k l e t ə
raclor,r a ˈ k l o r
raclă,ˈ r a k l ə
racola,r a k o ˈ l a
racolaj,r a k o ˈ l a ʒ
racolare,r a k o ˈ l a r e
racolat,r a k o ˈ l a t
racord,r a ˈ k o r d
racorda,r a k o r ˈ d a
racordare,r a k o r ˈ d a r e
radă,ˈ r a d ə
radar,ˈ r a d a r
radarist,r a d a ˈ r i s t
rade,ˈ r a d e
radere,ˈ r a d e r e
radia,r a d i ˈ a
radial,r a d i ˈ a l
radian,r a d i ˈ a n
radiant,r a d i ˈ a n t
radianță,r a d i ˈ a n t͡s ə
radiar,r a d i ˈ a r
radiat,r a d i ˈ a t
radiate,r a d i ˈ a t e
radiativ,r a d i a ˈ t i v
radiator,r a d i a ˈ t o r
radiație,r a d i ˈ a t͡s i e
radical,r a d i ˈ k a l
radicalism,r a d i k a ˈ l i s m
radicalist,r a d i k a ˈ l i s t
radicalistă,r a d i k a ˈ l i s t ə
radicaliza,r a d i k a l i ˈ z a
radicalizare,r a d i k a l i ˈ z a r e
radicant,r a d i ˈ k a n t
radicela,r a d i ˈ t͡ʃ e l a
radicelă,r a d i ˈ t͡ʃ e l ə
radiciform,r a d i t͡ʃ i ˈ f o r m
radicivor,r a d i t͡ʃ i ˈ v o r
radicular,r a d i k u ˈ l a r
radiculă,r a ˈ d i k u l ə
radier,r a d i ˈ e r
radiere,r a d i ˈ e r e
radieră,r a d i ˈ e r ə
radifer,r a d i ˈ f e r
radină,ˈ r a d i n ə
radio,ˈ r a d i o
radioactiv,r a d i o a k ˈ t i v
radioactivitate,r a d i o a k t i v i ˈ t a t e
radioactualitate,r a d i o a k t u a l i ˈ t a t e
radioaltimetru,r a d i o a l t i ˈ m e t r u
radioamator,r a d i o a m a ˈ t o r
radioamatorism,r a d i o a m a t o ˈ r i s m
radioamplificare,r a d i o a m p l i f i ˈ k a r e
radioascultare,r a d i o a s k u l ˈ t a r e
radioascultătoare,r a d i o a s k u l t ə ˈ t o̯ a r e
radioascultător,r a d i o a s k u l t ə ˈ t o r
radioastronom,r a d i o a s t r o ˈ n o m
radioastronomic,r a d i o a s t r o ˈ n o m i k
radioastronomie,r a d i o a s t r o n o ˈ m i e
radioaterizare,r a d i o a t e r i ˈ z a r e
radiobaliza,r a d i o b a l i ˈ z a
radiobalizaj,r a d i o b a l i ˈ z a ʒ
radiobalizare,r a d i o b a l i ˈ z a r e
radiobalizat,r a d i o b a l i ˈ z a t
radiobaliză,r a d i o b a ˈ l i z ə
radiobiolog,r a d i o b i o ˈ l o ɡ
radiobiologic,r a d i o b i o ˈ l o d ʒ i k
radiobiologie,r a d i o b i o l o ˈ d ʒ i e
radiobiologă,r a d i o b i o ˈ l o ɡ ə
radiobiotic,r a d i o b i ˈ o t i k
radiocasetofon,r a d i o k a s e t o ˈ f o n
radiochimie,r a d i o k i ˈ m i e
radiocinematografie,r a d i o t͡ʃ i n e m a t o ɡ r a ˈ f i e
radioclub,r a d i o ˈ k l u b
radiocomandă,r a d i o k o ˈ m a n d ə
radiocompas,r a d i o k o m ˈ p a s
radiocomunicație,r a d i o k o m u n i ˈ k a t͡s i e
radioconductor,r a d i o k o n d u k ˈ t o r
radiodermită,r a d i o d e r ˈ m i t ə
radiodetecție,r a d i o d e ˈ t e k t͡s i e
radiodiagnostic,r a d i o d i a ɡ ˈ n o s t i k
radiodifuza,r a d i o d i f u ˈ z a
radiodifuzare,r a d i o d i f u ˈ z a r e
radiodifuziune,r a d i o d i f u z i ˈ u n e
radiodistribuție,r a d i o d i s t r i ˈ b u t͡s i e
radioecologie,r a d i o e k o l o ˈ d ʒ i e
radioelectric,r a d i o e ˈ l e k t r i k
radioelectrician,r a d i o e l e k t r i t͡ʃ i ˈ a n
radioelectriciană,r a d i o e l e k t r i t͡ʃ i ˈ a n ə
radioelectricitate,r a d i o e l e k t r i t͡ʃ i ˈ t a t e
radioelement,r a d i o e l e ˈ m e n t
radioemisie,r a d i o e ˈ m i s i e
radioemisiune,r a d i o e m i s i ˈ u n e
radioemițător,r a d i o e m i t͡s ə ˈ t o r
radiofar,r a d i o ˈ f a r
radiofica,r a d i o f i ˈ k a
radioficare,r a d i o f i ˈ k a r e
radioficat,r a d i o f i ˈ k a t
radioficație,r a d i o f i ˈ k a t͡s i e
radiofizică,r a d i o ˈ f i z i k ə
radiofon,r a d i o ˈ f o n
radiofonic,r a d i o ˈ f o n i k
radiofonie,r a d i o ˈ f o n i e
radiofonist,r a d i o f o ˈ n i s t
radiofonistă,r a d i o f o ˈ n i s t ə
radiofosfor,r a d i o ˈ f o s f o r
radiofotografie,r a d i o f o t o ɡ r a ˈ f i e
radiofrecvență,r a d i o f r e k ˈ v e n t͡s ə
radiogazetă,r a d i o ɡ a ˈ z e t ə
radiogenetic,r a d i o d ʒ e ˈ n e t i k
radiogenetică,r a d i o d ʒ e ˈ n e t i k ə
radiogeodezie,r a d i o d ʒ e o d e ˈ z i e
radiogeologic,r a d i o d ʒ e o ˈ l o d ʒ i k
radiogeologie,r a d i o d ʒ e o l o ˈ d ʒ i e
radioghida,r a d i o ɡ i ˈ d a
radioghidaj,r a d i o ɡ i ˈ d a ʒ
radioghidare,r a d i o ɡ i ˈ d a r e
radioghidat,r a d i o ɡ i ˈ d a t
radiogoniograf,r a d i o ɡ o n i o ˈ ɡ r a f
radiogoniometra,r a d i o ɡ o n i o m e ˈ t r a
radiogoniometrare,r a d i o ɡ o n i o m e ˈ t r a r e
radiogoniometric,r a d i o ɡ o n i o ˈ m e t r i k
radiogoniometrie,r a d i o ɡ o n i o m e ˈ t r i e
radiogoniometru,r a d i o ɡ o n i o ˈ m e t r u
radiografia,r a d i o ɡ r a f i ˈ a
radiografic,r a d i o ˈ ɡ r a f i k
radiografie,r a d i o ɡ r a ˈ f i e
radiografiere,r a d i o ɡ r a f i ˈ e r e
radiogramă,r a d i o ˈ ɡ r a m ə
radiointerferometru,r a d i o i n t e r f e r o ˈ m e t r u
radioitinerar,r a d i o i t i n e ˈ r a r
radioizotop,r a d i o i z o ˈ t o p
radioizotopic,r a d i o i z o ˈ t o p i k
radiojurnal,r a d i o ʒ u r ˈ n a l
radiolar,r a d i o ˈ l a r
radiolarit,r a d i o l a ˈ r i t
radiolocator,r a d i o l o k a ˈ t o r
radiolocație,r a d i o l o ˈ k a t͡s i e
radiolog,r a d i o ˈ l o ɡ
radiologic,r a d i o ˈ l o d ʒ i k
radiologie,r a d i o l o ˈ d ʒ i e
radiologă,r a d i o ˈ l o ɡ ə
radiomagazin,r a d i o m a ɡ a ˈ z i n
radiometalografie,r a d i o m e t a l o ɡ r a ˈ f i e
radiometric,r a d i o ˈ m e t r i k
radiometrie,r a d i o m e ˈ t r i e
radiometru,r a d i o ˈ m e t r u
radiomicrofon,r a d i o m i k r o ˈ f o n
radiomicrometru,r a d i o m i k r o ˈ m e t r u
radiomimetic,r a d i o m i ˈ m e t i k
radionavigație,r a d i o n a v i ˈ ɡ a t͡s i e
radionecroză,r a d i o n e ˈ k r o z ə
radionevrită,r a d i o n e ˈ v r i t ə
